brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
90569,for_sale,160000,2,2,NULL,1505286,"Fort Lauderdale",Florida,33304,896,44428
18916,for_sale,675000,3,2,0.16,334869,"Fort Lauderdale",Florida,33304,1547,36278
35694,for_sale,569000,5,3,0.16,417397,"Fort Lauderdale",Florida,33304,1791,34114
16829,for_sale,850000,3,4,NULL,527380,"Fort Lauderdale",Florida,33304,2036,
2169,for_sale,749000,2,2,NULL,649532,"Fort Lauderdale",Florida,33304,1550,43227
89525,for_sale,199000,1,1,NULL,842702,"Fort Lauderdale",Florida,33304,586,42207
16829,for_sale,830000,3,4,NULL,527378,"Fort Lauderdale",Florida,33304,2036,
20084,for_sale,899000,2,1,0.2,400805,"Fort Lauderdale",Florida,33304,1123,41220
54228,for_sale,189000,1,1,NULL,842712,"Fort Lauderdale",Florida,33304,548,38810
13955,for_sale,795000,1,1,NULL,959467,"Fort Lauderdale",Florida,33304,724,42366
16196,for_sale,898000,3,4,NULL,226187,"Fort Lauderdale",Florida,33304,2321,
16196,for_sale,929000,3,4,NULL,227481,"Fort Lauderdale",Florida,33304,2321,
16196,for_sale,998000,4,4,NULL,223147,"Fort Lauderdale",Florida,33304,3037,
54228,for_sale,997594,3,3,NULL,1569832,"Fort Lauderdale",Florida,33304,2257,
82480,for_sale,1350000,2,2,NULL,959465,"Fort Lauderdale",Florida,33304,1329,
29015,for_sale,15900000,5,7,NULL,1364441,"Fort Lauderdale",Florida,33304,6168,
54228,for_sale,1050000,4,4,NULL,1569831,"Fort Lauderdale",Florida,33304,2632,
71687,for_sale,3195000,5,5,0.25,1006541,"Fort Lauderdale",Florida,33304,3474,43497
31305,for_sale,565000,1,2,NULL,1398551,"Fort Lauderdale",Florida,33304,731,42552
57742,for_sale,825000,1,2,NULL,1398544,"Fort Lauderdale",Florida,33304,794,42983
25102,for_sale,1025000,2,2,NULL,169766,"Fort Lauderdale",Florida,33304,1700,43789
57742,for_sale,1150000,1,2,NULL,1398538,"Fort Lauderdale",Florida,33304,839,43719
16829,for_sale,5495000,12,12,NULL,72678,"Fort Lauderdale",Florida,33304,8705,
